file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,235.008,1156.797,77.773,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.141928,322.012,1201.898,87.403,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0157; downsample_s=0.0041; plot_s=0.1203
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.150180,319.766,1198.676,23.804,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0198; downsample_s=0.0049; plot_s=0.1238
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.151920,320.613,1200.082,92.044,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0158; downsample_s=0.0057; plot_s=0.1288
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.146643,322.375,1200.059,7.827,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0219; downsample_s=0.0051; plot_s=0.1172
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.140391,323.797,1202.125,99.502,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0171; downsample_s=0.0067; plot_s=0.1133
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.143592,322.273,1199.332,111.728,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0188; downsample_s=0.0053; plot_s=0.1162
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.145189,323.746,1201.258,96.287,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0206; downsample_s=0.0067; plot_s=0.1141
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.146408,322.277,1199.160,100.925,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0214; downsample_s=0.0053; plot_s=0.1176
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.146303,323.719,1201.273,84.989,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0198; downsample_s=0.0053; plot_s=0.1188
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.148571,322.250,1199.133,99.532,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0228; downsample_s=0.0056; plot_s=0.1175
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.147828,323.695,1201.586,104.550,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0187; downsample_s=0.0058; plot_s=0.1196
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.149916,322.180,1199.336,48.637,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0199; downsample_s=0.0051; plot_s=0.1219
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.150039,323.691,1201.262,103.223,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0199; downsample_s=0.0061; plot_s=0.1205
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.154677,322.207,1199.047,32.151,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0215; downsample_s=0.0053; plot_s=0.1255
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.151778,323.711,1201.277,102.430,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0201; downsample_s=0.0061; plot_s=0.1232
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.160002,322.180,1199.020,59.659,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0204; downsample_s=0.0049; plot_s=0.1326
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.160548,323.688,1201.590,96.461,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0235; downsample_s=0.0054; plot_s=0.1292
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.208657,321.305,1199.336,25.196,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0332; downsample_s=0.0068; plot_s=0.1655
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.159359,322.816,1201.262,87.740,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0236; downsample_s=0.0058; plot_s=0.1264
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.173253,321.691,1200.328,100.124,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0252; downsample_s=0.0057; plot_s=0.1380
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.155787,322.590,1201.816,79.248,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0230; downsample_s=0.0061; plot_s=0.1238
