file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,234.367,1156.434,25.485,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.209903,168.223,1237.812,31.063,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0151; downsample_s=0.0270; plot_s=0.1622
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.492688,297.586,1240.148,94.930,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0160; downsample_s=0.0255; plot_s=0.4447
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.294744,298.852,1241.332,100.240,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0363; downsample_s=0.0439; plot_s=0.2048
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_REI,1.382752,298.852,1241.332,0.000,,25.000000,,,"channels=26; baseline=[54.0, 114.0]; ictal=[119.0, 144.0]"
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.271308,298.301,1241.230,21.698,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0264; downsample_s=0.0314; plot_s=0.2063
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,1.297096,76.195,1261.812,0.802,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.9765; downsample_s=0.0429; plot_s=0.2617
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.282755,118.953,1297.918,39.105,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0373; downsample_s=0.0391; plot_s=0.1981
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.216362,148.762,1327.535,28.026,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0273; downsample_s=0.0344; plot_s=0.1474
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.196057,148.867,1327.535,95.187,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0258; downsample_s=0.0317; plot_s=0.1319
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.194200,148.879,1327.535,103.908,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0250; downsample_s=0.0323; plot_s=0.1283
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.775708,153.055,1323.598,67.206,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0425; downsample_s=0.0470; plot_s=0.6758
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_gamma_spike_detector,5.432732,152.258,1322.879,0.000,,299.998000,,,channels=26; start_s=0.000; stop_s=299.998; spikes=99; gamma=99
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.264594,159.371,1327.781,2.796,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0289; downsample_s=0.0338; plot_s=0.1945
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,1.205528,92.355,1328.668,0.499,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.9437; downsample_s=0.0317; plot_s=0.2189
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.222454,93.289,1328.668,97.708,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0241; downsample_s=0.0278; plot_s=0.1639
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.231562,93.395,1328.668,99.943,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0235; downsample_s=0.0273; plot_s=0.1741
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.201217,93.445,1328.668,100.584,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0230; downsample_s=0.0292; plot_s=0.1420
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.152005,93.477,1328.668,102.328,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0192; downsample_s=0.0241; plot_s=0.1033
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.656363,241.141,1328.668,54.488,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0119; downsample_s=0.0234; plot_s=0.6165
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.203243,249.484,1328.379,32.210,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0154; downsample_s=0.0285; plot_s=0.1532
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_gamma_spike_detector,2.162549,248.699,1327.582,0.000,,299.998000,,,channels=26; start_s=0.000; stop_s=299.998; spikes=99; gamma=99
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.185476,248.828,1327.605,26.019,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0133; downsample_s=0.0226; plot_s=0.1447
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_gamma_spike_detector,2.060336,248.844,1328.316,0.000,,299.998000,,,channels=26; start_s=0.000; stop_s=299.998; spikes=99; gamma=99
