file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,229.961,1156.629,57.132,,,,,MainWindow initialized
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.115892,291.344,1197.516,8.350,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0063; downsample_s=0.0117; plot_s=0.0962
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.112119,293.434,1198.945,110.387,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0064; downsample_s=0.0079; plot_s=0.0963
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.109258,293.520,1198.945,99.221,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0063; downsample_s=0.0073; plot_s=0.0943
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.113676,293.523,1198.945,95.632,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0066; downsample_s=0.0072; plot_s=0.0984
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.119319,291.363,1196.879,18.355,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0063; downsample_s=0.0091; plot_s=0.1023
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.101162,293.125,1197.844,91.818,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0060; downsample_s=0.0076; plot_s=0.0862
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.140611,297.934,1233.824,91.023,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0075; downsample_s=0.0079; plot_s=0.1232
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_gamma_spike_detector,7.586290,297.949,1234.082,0.000,,299.999000,,,channels=27; start_s=0.000; stop_s=299.999; spikes=454; gamma=454
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.136286,303.543,1239.180,6.191,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0069; downsample_s=0.0086; plot_s=0.1191
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.146297,375.887,1285.863,29.074,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0064; downsample_s=0.0082; plot_s=0.1299
