file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,239.254,1157.355,19.985,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.225334,138.055,1198.758,82.571,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0257; downsample_s=0.0405; plot_s=0.1490
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.227160,138.078,1198.758,95.880,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0237; downsample_s=0.0420; plot_s=0.1524
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.253151,135.074,1195.266,16.619,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0319; downsample_s=0.0452; plot_s=0.1660
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.239653,137.621,1197.445,97.131,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0260; downsample_s=0.0530; plot_s=0.1502
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.261854,137.672,1197.445,95.064,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0242; downsample_s=0.0513; plot_s=0.1769
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.235328,137.672,1197.445,99.182,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0252; downsample_s=0.0487; plot_s=0.1518
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.257056,137.680,1197.445,96.786,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0278; downsample_s=0.0485; plot_s=0.1707
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.268917,137.688,1197.641,92.648,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0271; downsample_s=0.0439; plot_s=0.1877
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.257257,137.801,1197.641,102.619,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0285; downsample_s=0.0519; plot_s=0.1661
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.247515,135.660,1194.844,17.907,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0245; downsample_s=0.0446; plot_s=0.1687
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.237869,138.168,1198.207,97.762,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0213; downsample_s=0.0389; plot_s=0.1700
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.243525,135.117,1194.527,8.955,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0257; downsample_s=0.0434; plot_s=0.1645
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.236250,137.898,1197.898,92.037,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0213; downsample_s=0.0403; plot_s=0.1666
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.200940,137.934,1197.914,100.473,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0183; downsample_s=0.0322; plot_s=0.1442
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.457252,146.508,1231.707,31.417,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0285; downsample_s=0.0401; plot_s=0.3780
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_gamma_spike_detector,5.124172,146.531,1231.707,0.000,,300.000000,,,channels=35; start_s=0.000; stop_s=300.000; spikes=130; gamma=33
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.312537,152.035,1235.332,5.900,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0249; downsample_s=0.0411; plot_s=0.2368
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,1.412130,70.176,1268.363,0.367,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=1.0049; downsample_s=0.0518; plot_s=0.3386
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.368117,85.055,1269.277,78.300,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0315; downsample_s=0.0400; plot_s=0.2865
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.232255,90.188,1269.469,7.047,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0366; downsample_s=0.0318; plot_s=0.1563
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.215158,92.078,1272.719,100.822,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0245; downsample_s=0.0307; plot_s=0.1536
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.215326,90.277,1269.301,88.436,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0240; downsample_s=0.0319; plot_s=0.1525
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.209655,92.551,1272.309,103.447,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0237; downsample_s=0.0324; plot_s=0.1460
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.213292,90.348,1269.273,97.836,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0263; downsample_s=0.0320; plot_s=0.1483
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.219480,92.379,1273.113,98.445,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0233; downsample_s=0.0297; plot_s=0.1592
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.201857,90.383,1269.105,63.032,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0200; downsample_s=0.0268; plot_s=0.1496
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.194845,92.414,1273.070,103.398,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0185; downsample_s=0.0266; plot_s=0.1446
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.198942,90.441,1269.047,22.818,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0200; downsample_s=0.0265; plot_s=0.1473
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.198311,92.695,1273.285,91.869,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0210; downsample_s=0.0259; plot_s=0.1459
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.338608,98.719,1269.402,4.184,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0550; downsample_s=0.0512; plot_s=0.2199
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.255699,100.676,1273.305,91.343,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0308; downsample_s=0.0362; plot_s=0.1797
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.215614,100.793,1273.434,101.099,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0270; downsample_s=0.0310; plot_s=0.1506
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.178511,100.910,1273.434,86.860,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0242; downsample_s=0.0287; plot_s=0.1191
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.171961,100.922,1273.434,99.544,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0252; downsample_s=0.0303; plot_s=0.1101
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.151874,101.004,1273.434,102.283,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0182; downsample_s=0.0274; plot_s=0.0997
